File,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
bu,1995-04-20,2373,96,116,84,0,0,0,0,0,0,0,0,0,215,365,2579,3273,971,706,1850,929,790,2478,1167
bu,1995-04-21,469,142,506,0,0,0,0,0,0,0,0,0,0,2037,1162,2371,1995,1932,3365,2595,1352,106,0,1058
bu,1995-04-22,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,668,630,806,851,1440,558,222
bu,1995-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,1082,1184,1247,1703,1570,1066,354
bu,1995-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,2092,3443,1649,1687,2484,958,961,1622,1684,1788,916
bu,1995-04-25,373,762,545,0,0,0,0,0,0,0,0,0,0,252,21577,5188,1685,1705,1198,1872,2257,2483,573,1931
bu,1995-04-26,1317,234,0,0,0,0,0,0,0,0,0,0,0,2387,463,1236,2338,784,1451,1406,1301,785,1003,629
bu,1995-04-27,1727,862,0,0,0,0,8,0,0,0,0,0,0,41,535,1099,1803,700,1470,921,160,544,640,413
bu,1995-04-28,929,293,0,0,0,0,0,0,0,0,0,0,0,842,56,816,880,873,534,0,0,0,0,0
bu,1995-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,309,290,441,1691,1414
bu,1995-04-30,39,76,47,0,1,0,0,0,0,0,0,0,0,0,0,0,645,2029,645,149,185,48,85,77
bu,1995-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,492,709,1034,3221,658,884,172,85,105,277,106
bu,1995-05-02,0,9,693,0,0,0,0,0,0,0,0,0,0,126,115,1202,425,252,174,276,564,337,111,70
bu,1995-05-03,440,2079,585,609,0,0,0,0,0,0,0,0,464,840,404,550,301,1475,538,801,686,1065,672,0
bu,1995-05-04,124,15,0,0,0,11,171,218,1,127,0,0,0,191,916,101,106,454,4563,440,600,241,214,298
bu,1995-05-05,398,966,0,0,0,0,0,0,0,0,0,28,0,0,87,144,293,93,597,382,401,0,0,0
bu,1995-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1186,622,268,103,0,0
bu,1995-05-07,6,349,99,89,5,32,0,0,0,0,0,0,0,0,0,0,0,9,360,8,441,419,0,0
bu,1995-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,231,972,383,855,592,116,488,108,343
bu,1995-05-09,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,1107,297,56,70,72,2143,415,107,96
bu,1995-05-10,21,2,2,0,0,0,0,67,0,0,0,0,0,0,240,412,545,287,102,303,909,404,253,109
bu,1995-05-11,16,5,2,127,31,0,0,0,0,0,0,0,0,0,0,307,156,0,99,864,311,248,104,442
bu,1995-05-12,7,21,0,0,0,0,0,0,0,0,0,0,0,0,80,432,1959,1754,440,128,58,119,179,267
bu,1995-05-13,2,6,170,182,141,202,0,0,0,0,0,0,0,0,0,0,13,0,376,5,71,179,102,0
bu,1995-05-14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,145,139,178,23,0,0
bu,1995-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,211,30,0,107,1831,468,482,534,0
bu,1995-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,328,1049,1189,2070,200,0,106,0
bu,1995-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,97,138,111,0,0,0
bu,1995-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,16,41,8,12,0,0
