Date,Day,File,Cluster
2021-02-21,Sunday,wikipedia,0
2021-02-28,Sunday,wikipedia,0
2021-03-07,Sunday,wikipedia,0
2021-03-14,Sunday,wikipedia,0
2021-03-21,Sunday,wikipedia,0
2021-03-28,Sunday,wikipedia,0
2021-04-04,Sunday,wikipedia,0
2021-04-11,Sunday,wikipedia,0
2021-04-18,Sunday,wikipedia,0
2021-04-25,Sunday,wikipedia,0
2021-05-02,Sunday,wikipedia,0
2021-05-09,Sunday,wikipedia,0
2021-05-16,Sunday,wikipedia,0
2021-05-23,Sunday,wikipedia,0
2021-05-30,Sunday,wikipedia,0
2021-06-06,Sunday,wikipedia,0
2021-06-13,Sunday,wikipedia,0
2021-06-20,Sunday,wikipedia,0
2021-06-27,Sunday,wikipedia,0
2021-07-04,Sunday,wikipedia,1
2021-07-11,Sunday,wikipedia,0
2021-07-18,Sunday,wikipedia,0
2021-07-25,Sunday,wikipedia,1
2021-08-01,Sunday,wikipedia,0
2021-08-08,Sunday,wikipedia,1
2021-08-15,Sunday,wikipedia,0
2021-08-22,Sunday,wikipedia,0
2021-08-29,Sunday,wikipedia,0
2021-09-05,Sunday,wikipedia,0
2021-09-12,Sunday,wikipedia,0
2021-09-19,Sunday,wikipedia,0
2021-09-26,Sunday,wikipedia,0
2021-10-03,Sunday,wikipedia,0
2021-10-10,Sunday,wikipedia,0
2021-10-17,Sunday,wikipedia,0
2021-10-24,Sunday,wikipedia,0
2021-10-31,Sunday,wikipedia,0
2021-11-07,Sunday,wikipedia,0
2021-11-14,Sunday,wikipedia,0
2021-11-21,Sunday,wikipedia,0
2021-11-28,Sunday,wikipedia,0
2021-12-05,Sunday,wikipedia,0
2021-12-12,Sunday,wikipedia,0
2021-12-19,Sunday,wikipedia,0
2021-12-26,Sunday,wikipedia,0
2022-01-02,Sunday,wikipedia,1
2022-01-09,Sunday,wikipedia,1
2022-01-16,Sunday,wikipedia,0
2022-01-23,Sunday,wikipedia,0
2022-01-30,Sunday,wikipedia,1
2022-02-06,Sunday,wikipedia,0
2022-02-13,Sunday,wikipedia,0
2022-02-20,Sunday,wikipedia,0
2022-02-27,Sunday,wikipedia,1
2022-03-06,Sunday,wikipedia,0
2022-03-13,Sunday,wikipedia,0
2022-03-20,Sunday,wikipedia,0
2022-03-27,Sunday,wikipedia,0
2022-04-03,Sunday,wikipedia,0
2022-04-10,Sunday,wikipedia,0
2022-04-17,Sunday,wikipedia,0
2022-04-24,Sunday,wikipedia,0
2022-05-01,Sunday,wikipedia,0
2022-05-08,Sunday,wikipedia,2
2022-05-15,Sunday,wikipedia,0
2022-05-22,Sunday,wikipedia,0
2022-05-29,Sunday,wikipedia,0
2022-06-05,Sunday,wikipedia,0
2022-06-12,Sunday,wikipedia,0
2022-06-19,Sunday,wikipedia,0
2022-06-26,Sunday,wikipedia,0
2022-07-03,Sunday,wikipedia,0
2022-07-10,Sunday,wikipedia,1
2022-07-17,Sunday,wikipedia,0
2022-07-24,Sunday,wikipedia,0
2022-07-31,Sunday,wikipedia,0
2022-08-07,Sunday,wikipedia,1
2022-08-14,Sunday,wikipedia,0
2022-08-21,Sunday,wikipedia,0
2022-08-28,Sunday,wikipedia,0
2022-09-04,Sunday,wikipedia,0
2022-09-11,Sunday,wikipedia,1
2022-09-18,Sunday,wikipedia,0
2022-09-25,Sunday,wikipedia,0
2022-10-02,Sunday,wikipedia,0
2022-10-09,Sunday,wikipedia,0
2022-10-16,Sunday,wikipedia,0
2022-10-23,Sunday,wikipedia,0
2022-10-30,Sunday,wikipedia,0
2022-11-06,Sunday,wikipedia,0
2022-11-13,Sunday,wikipedia,0
2022-11-20,Sunday,wikipedia,0
2022-11-27,Sunday,wikipedia,0
2022-12-04,Sunday,wikipedia,0
2022-12-11,Sunday,wikipedia,1
2022-12-18,Sunday,wikipedia,0
2022-12-25,Sunday,wikipedia,0
2023-01-01,Sunday,wikipedia,1
2023-01-08,Sunday,wikipedia,0
2023-01-15,Sunday,wikipedia,1
2023-01-22,Sunday,wikipedia,0
2023-01-29,Sunday,wikipedia,0
2023-02-05,Sunday,wikipedia,0
2023-02-12,Sunday,wikipedia,0
2023-02-19,Sunday,wikipedia,0
2023-02-26,Sunday,wikipedia,0
2023-03-05,Sunday,wikipedia,0
2023-03-12,Sunday,wikipedia,1
2023-03-19,Sunday,wikipedia,0
2023-03-26,Sunday,wikipedia,0
2023-04-02,Sunday,wikipedia,0
2023-04-09,Sunday,wikipedia,0
2023-04-16,Sunday,wikipedia,0
2023-04-23,Sunday,wikipedia,1
2023-04-30,Sunday,wikipedia,0
2023-05-07,Sunday,wikipedia,0
2023-05-14,Sunday,wikipedia,0
2023-05-21,Sunday,wikipedia,0
