Date,Day,File,Cluster
1994-10-29,Saturday,calgary,2
1994-10-30,Sunday,calgary,2
1994-10-31,Monday,calgary,2
1994-11-01,Tuesday,calgary,2
1994-11-02,Wednesday,calgary,2
1994-11-03,Thursday,calgary,2
1994-11-04,Friday,calgary,2
1994-11-05,Saturday,calgary,1
1994-11-06,Sunday,calgary,2
1994-11-07,Monday,calgary,0
1994-11-08,Tuesday,calgary,2
1994-11-09,Wednesday,calgary,2
1994-11-10,Thursday,calgary,2
1994-11-11,Friday,calgary,1
1994-11-12,Saturday,calgary,2
1994-11-13,Sunday,calgary,2
1994-11-14,Monday,calgary,2
1994-11-15,Tuesday,calgary,2
1994-11-16,Wednesday,calgary,2
1994-11-17,Thursday,calgary,2
1994-11-18,Friday,calgary,2
1994-11-19,Saturday,calgary,2
1994-11-20,Sunday,calgary,0
1995-05-20,Saturday,calgary,2
1995-05-21,Sunday,calgary,1
1995-05-22,Monday,calgary,1
1995-05-23,Tuesday,calgary,1
1995-05-24,Wednesday,calgary,2
1995-05-25,Thursday,calgary,1
1995-05-26,Friday,calgary,1
1995-05-27,Saturday,calgary,2
1995-05-28,Sunday,calgary,1
1995-05-29,Monday,calgary,2
1995-05-30,Tuesday,calgary,2
1995-05-31,Wednesday,calgary,1
1995-06-01,Thursday,calgary,2
1995-06-02,Friday,calgary,2
1995-06-03,Saturday,calgary,2
1995-06-04,Sunday,calgary,1
1995-06-05,Monday,calgary,2
1995-06-06,Tuesday,calgary,2
1995-06-07,Wednesday,calgary,2
1995-06-08,Thursday,calgary,2
1995-06-09,Friday,calgary,2
1995-06-10,Saturday,calgary,1
1995-06-11,Sunday,calgary,0
1995-06-12,Monday,calgary,2
1995-06-13,Tuesday,calgary,2
1995-06-14,Wednesday,calgary,2
1995-06-15,Thursday,calgary,2
1995-06-16,Friday,calgary,2
1995-06-17,Saturday,calgary,2
1995-06-18,Sunday,calgary,1
1995-06-19,Monday,calgary,2
1995-06-20,Tuesday,calgary,2
1995-06-21,Wednesday,calgary,2
1995-06-22,Thursday,calgary,2
1995-06-23,Friday,calgary,2
1995-06-24,Saturday,calgary,1
1995-06-25,Sunday,calgary,1
1995-06-26,Monday,calgary,2
1995-06-27,Tuesday,calgary,2
1995-06-28,Wednesday,calgary,2
1995-06-29,Thursday,calgary,2
1995-06-30,Friday,calgary,2
1995-07-01,Saturday,calgary,2
1995-07-02,Sunday,calgary,2
1995-07-03,Monday,calgary,2
1995-07-04,Tuesday,calgary,2
1995-07-05,Wednesday,calgary,2
1995-07-06,Thursday,calgary,2
1995-07-07,Friday,calgary,2
1995-07-08,Saturday,calgary,1
1995-07-09,Sunday,calgary,1
1995-07-10,Monday,calgary,2
1995-07-11,Tuesday,calgary,2
1995-07-12,Wednesday,calgary,2
1995-07-13,Thursday,calgary,2
1995-07-14,Friday,calgary,2
1995-07-15,Saturday,calgary,1
1995-07-16,Sunday,calgary,1
1995-07-17,Monday,calgary,2
1995-07-18,Tuesday,calgary,2
1995-07-19,Wednesday,calgary,2
1995-07-20,Thursday,calgary,2
1995-07-21,Friday,calgary,2
1995-07-22,Saturday,calgary,2
1995-07-23,Sunday,calgary,1
1995-07-24,Monday,calgary,2
1995-07-25,Tuesday,calgary,1
1995-07-26,Wednesday,calgary,2
1995-07-27,Thursday,calgary,2
1995-07-28,Friday,calgary,2
1995-07-29,Saturday,calgary,2
1995-07-30,Sunday,calgary,2
1995-07-31,Monday,calgary,2
1995-08-01,Tuesday,calgary,2
1995-08-02,Wednesday,calgary,2
1995-08-03,Thursday,calgary,2
1995-08-04,Friday,calgary,2
1995-08-05,Saturday,calgary,2
1995-08-06,Sunday,calgary,1
1995-08-07,Monday,calgary,2
1995-08-08,Tuesday,calgary,2
1995-08-09,Wednesday,calgary,2
1995-08-10,Thursday,calgary,2
1995-08-11,Friday,calgary,2
1995-08-12,Saturday,calgary,2
1995-08-13,Sunday,calgary,1
1995-08-14,Monday,calgary,2
1995-08-15,Tuesday,calgary,2
1995-08-16,Wednesday,calgary,2
1995-08-17,Thursday,calgary,2
1995-08-18,Friday,calgary,2
1995-08-19,Saturday,calgary,0
1995-08-20,Sunday,calgary,0
1995-08-21,Monday,calgary,2
1995-08-22,Tuesday,calgary,2
1995-08-23,Wednesday,calgary,2
1995-08-24,Thursday,calgary,2
1995-08-25,Friday,calgary,2
1995-08-26,Saturday,calgary,2
1995-08-27,Sunday,calgary,0
1995-08-28,Monday,calgary,2
1995-08-29,Tuesday,calgary,2
1995-08-30,Wednesday,calgary,2
1995-08-31,Thursday,calgary,2
1995-09-01,Friday,calgary,2
1995-09-02,Saturday,calgary,2
1995-09-03,Sunday,calgary,2
1995-09-04,Monday,calgary,1
1995-09-05,Tuesday,calgary,2
1995-09-06,Wednesday,calgary,2
1995-09-07,Thursday,calgary,2
1995-09-08,Friday,calgary,2
1995-09-09,Saturday,calgary,1
1995-09-10,Sunday,calgary,0
1995-09-11,Monday,calgary,2
1995-09-12,Tuesday,calgary,2
1995-09-13,Wednesday,calgary,2
1995-09-14,Thursday,calgary,2
1995-09-15,Friday,calgary,2
1995-09-16,Saturday,calgary,0
1995-09-17,Sunday,calgary,2
1995-09-18,Monday,calgary,2
1995-09-19,Tuesday,calgary,2
1995-09-20,Wednesday,calgary,2
1995-09-21,Thursday,calgary,2
1995-09-22,Friday,calgary,2
1995-09-23,Saturday,calgary,2
1995-09-24,Sunday,calgary,0
1995-09-25,Monday,calgary,2
1995-09-26,Tuesday,calgary,2
1995-09-27,Wednesday,calgary,2
1995-09-28,Thursday,calgary,2
1995-09-29,Friday,calgary,2
1995-09-30,Saturday,calgary,2
1995-10-01,Sunday,calgary,2
1995-10-02,Monday,calgary,2
1995-10-03,Tuesday,calgary,2
1995-10-04,Wednesday,calgary,2
1995-10-05,Thursday,calgary,2
1995-10-06,Friday,calgary,2
1995-10-07,Saturday,calgary,0
1995-10-08,Sunday,calgary,0
1995-10-09,Monday,calgary,2
1995-10-10,Tuesday,calgary,2
1995-10-11,Wednesday,calgary,2
1995-08-28,Monday,clarknet,0
1995-08-29,Tuesday,clarknet,0
1995-08-30,Wednesday,clarknet,0
1995-08-31,Thursday,clarknet,0
1995-09-01,Friday,clarknet,2
1995-09-02,Saturday,clarknet,0
1995-09-03,Sunday,clarknet,1
1995-09-04,Monday,clarknet,0
1995-09-05,Tuesday,clarknet,2
1995-09-06,Wednesday,clarknet,0
1995-09-07,Thursday,clarknet,0
1995-09-08,Friday,clarknet,2
1995-09-09,Saturday,clarknet,1
1995-09-10,Sunday,clarknet,1
1995-08-29,Tuesday,epa,1
1995-08-30,Wednesday,epa,2
2018-05-01,Tuesday,madrid,2
2018-05-02,Wednesday,madrid,2
