Datetime,Value
2018-05-18 01:00:00,4101
2018-05-18 02:00:00,3710
2018-05-18 03:00:00,6024
2018-05-18 04:00:00,5616
2018-05-18 05:00:00,5599
2018-05-18 06:00:00,5538
2018-05-18 07:00:00,7613
2018-05-18 08:00:00,8321
2018-05-18 09:00:00,9395
2018-05-18 10:00:00,9362
2018-05-18 11:00:00,9921
2018-05-18 12:00:00,8587
2018-05-18 13:00:00,9380
2018-05-18 14:00:00,9757
2018-05-18 15:00:00,7963
2018-05-18 16:00:00,8567
2018-05-18 17:00:00,5959
2018-05-18 18:00:00,6030
2018-05-18 19:00:00,6535
2018-05-18 20:00:00,6736
2018-05-18 21:00:00,6439
2018-05-18 22:00:00,5421
2018-05-18 23:00:00,5375
2018-05-19 00:00:00,6030
2018-05-19 01:00:00,7261
2018-05-19 02:00:00,6674
2018-05-19 03:00:00,6948
2018-05-19 04:00:00,8985
2018-05-19 05:00:00,8025
2018-05-19 06:00:00,8098
2018-05-19 07:00:00,11011
2018-05-19 08:00:00,11227
2018-05-19 09:00:00,11309
2018-05-19 10:00:00,16413
2018-05-19 11:00:00,13330
2018-05-19 12:00:00,9390
2018-05-19 13:00:00,14206
2018-05-19 14:00:00,12221
2018-05-19 15:00:00,11992
2018-05-19 16:00:00,13605
2018-05-19 17:00:00,9729
2018-05-19 18:00:00,7184
2018-05-19 19:00:00,9828
2018-05-19 20:00:00,9470
2018-05-19 21:00:00,9564
2018-05-19 22:00:00,9595
2018-05-19 23:00:00,8281
2018-05-20 00:00:00,5918
2018-05-20 01:00:00,6981
2018-05-20 02:00:00,6352
2018-05-20 03:00:00,8747
2018-05-20 04:00:00,9827
2018-05-20 05:00:00,9942
2018-05-20 06:00:00,8281
2018-05-20 07:00:00,12806
2018-05-20 08:00:00,12017
2018-05-20 09:00:00,15094
2018-05-20 10:00:00,15781
2018-05-20 11:00:00,15739
2018-05-20 12:00:00,11029
2018-05-20 13:00:00,14852
2018-05-20 14:00:00,15024
2018-05-20 15:00:00,13863
2018-05-20 16:00:00,14583
2018-05-20 17:00:00,9516
2018-05-20 18:00:00,10572
2018-05-20 19:00:00,10326
2018-05-20 20:00:00,9524
2018-05-20 21:00:00,9480
2018-05-20 22:00:00,11101
2018-05-20 23:00:00,9554
2018-05-21 00:00:00,7194
2018-05-21 01:00:00,7972
2018-05-21 02:00:00,6003
2018-05-21 03:00:00,8256
2018-05-21 04:00:00,8712
2018-05-21 05:00:00,9506
2018-05-21 06:00:00,8355
2018-05-21 07:00:00,10169
2018-05-21 08:00:00,12552
2018-05-21 09:00:00,13439
2018-05-21 10:00:00,16156
2018-05-21 11:00:00,16744
2018-05-21 12:00:00,16656
2018-05-21 13:00:00,14437
2018-05-21 14:00:00,16350
2018-05-21 15:00:00,7874
2018-05-21 16:00:00,14291
2018-05-21 17:00:00,11049
2018-05-21 18:00:00,11464
2018-05-21 19:00:00,9063
2018-05-21 20:00:00,10285
2018-05-21 21:00:00,9465
2018-05-21 22:00:00,7550
2018-05-21 23:00:00,8298
2018-05-22 00:00:00,7453
2018-05-22 01:00:00,5493
2018-05-22 02:00:00,6431
2018-05-22 03:00:00,6500
2018-05-22 04:00:00,8866
2018-05-22 05:00:00,6695
2018-05-22 06:00:00,8057
2018-05-22 07:00:00,9471
2018-05-22 08:00:00,11044
2018-05-22 09:00:00,12577
2018-05-22 10:00:00,16656
2018-05-22 11:00:00,17642
2018-05-22 12:00:00,11954
2018-05-22 13:00:00,12528
2018-05-22 14:00:00,14751
2018-05-22 15:00:00,11265
2018-05-22 16:00:00,12793
2018-05-22 17:00:00,9034
2018-05-22 18:00:00,9579
2018-05-22 19:00:00,9483
2018-05-22 20:00:00,10078
2018-05-22 21:00:00,7804
2018-05-22 22:00:00,8103
2018-05-22 23:00:00,7917
2018-05-23 00:00:00,6801
2018-05-23 01:00:00,5888
2018-05-23 02:00:00,6081
2018-05-23 03:00:00,7792
2018-05-23 04:00:00,9357
2018-05-23 05:00:00,9364
2018-05-23 06:00:00,7810
2018-05-23 07:00:00,12254
2018-05-23 08:00:00,11613
2018-05-23 09:00:00,11570
2018-05-23 10:00:00,15898
2018-05-23 11:00:00,15556
2018-05-23 12:00:00,11535
2018-05-23 13:00:00,16258
2018-05-23 14:00:00,14370
2018-05-23 15:00:00,11211
2018-05-23 16:00:00,12369
2018-05-23 17:00:00,10857
2018-05-23 18:00:00,11107
2018-05-23 19:00:00,9601
2018-05-23 20:00:00,9373
2018-05-23 21:00:00,8354
2018-05-23 22:00:00,9885
2018-05-23 23:00:00,8297
2018-05-24 00:00:00,4998
2018-05-24 01:00:00,4424
2018-05-24 02:00:00,3571
2018-05-24 03:00:00,5326
2018-05-24 04:00:00,6682
2018-05-24 05:00:00,5606
2018-05-24 06:00:00,6219
2018-05-24 07:00:00,7489
2018-05-24 08:00:00,6650
2018-05-24 09:00:00,8753
2018-05-24 10:00:00,11011
2018-05-24 11:00:00,11271
2018-05-24 12:00:00,9192
2018-05-24 13:00:00,8115
2018-05-24 14:00:00,8965
2018-05-24 15:00:00,7316
2018-05-24 16:00:00,8736
2018-05-24 17:00:00,6660
2018-05-24 18:00:00,6645
2018-05-24 19:00:00,6047
2018-05-24 20:00:00,7209
2018-05-24 21:00:00,5171
2018-05-24 22:00:00,6612
2018-05-24 23:00:00,5460
2018-05-25 00:00:00,5446
2018-05-25 01:00:00,5240
2018-05-25 02:00:00,4170
2018-05-25 03:00:00,5293
2018-05-25 04:00:00,5636
2018-05-25 05:00:00,4952
2018-05-25 06:00:00,6853
2018-05-25 07:00:00,8196
2018-05-25 08:00:00,8538
2018-05-25 09:00:00,9357
2018-05-25 10:00:00,11043
2018-05-25 11:00:00,13051
2018-05-25 12:00:00,9307
2018-05-25 13:00:00,8655
2018-05-25 14:00:00,9503
2018-05-25 15:00:00,9299
2018-05-25 16:00:00,9199
2018-05-25 17:00:00,6872
2018-05-25 18:00:00,9087
2018-05-25 19:00:00,8986
2018-05-25 20:00:00,7165
2018-05-25 21:00:00,6905
2018-05-25 22:00:00,7057
2018-05-25 23:00:00,5385
2018-05-26 00:00:00,9239
2018-05-26 01:00:00,6902
2018-05-26 02:00:00,6038
2018-05-26 03:00:00,6975
2018-05-26 04:00:00,8626
